Site,Metrique,Periode,R2025,R2026,B2026
Chézy,Personnel,Q2,-284863.95000000007,-340435.33999999997,0.0
Chézy,Energie,Q2,-18460.600000000006,-50456.419999999984,-245.18999999998778
Chézy,Maint_courante,Q2,-19149.609999999986,-43112.620000000024,0.0
Chézy,Maint_oblig,Q2,-65888.22,-46129.07000000001,0.0
Chézy,Traitement_sp,Q2,0.0,-645.92,0.0
Chézy,Autres_couts,Q2,-101838.05,-100947.81,-58434.50999999998
Chézy,CA,S1,1065694.23,1226612.06,363970.46
Chézy,PNE,S1,1012588.03,1160967.36,353038.32
Chézy,Marge_brute,S1,-57062.96999999997,44667.210000000196,-129763.79785730189
Chézy,EBITDA,S1,-206041.0600000004,30489.58999999973,-145723.7978573021
Chézy,EBIT,S1,-228547.8600000004,21547.22999999973,-154306.8632509339
Chézy,Personnel,S1,-546424.56,-657681.82,-237855.3798925837
Chézy,Energie,S1,-147367.54,-105172.57,-49288.91999999999
Chézy,Maint_courante,S1,-75300.57999999999,-71756.90000000002,-23429.92
Chézy,Maint_oblig,S1,-119060.94,-119744.01,-36404.48
Chézy,Traitement_sp,S1,-102.0,-645.92,-138.18
Chézy,Autres_couts,S1,-179109.31,-157708.78,-135126.8979647182
Portes les Valences,CA,Q1,1645570.93,1466807.18,1491528.2194
Portes les Valences,PNE,Q1,1254470.52,1081496.24,1036075.25092
Portes les Valences,Marge_brute,Q1,252004.28000000003,100941.77000000002,14819.621830529999
Portes les Valences,EBITDA,Q1,110432.4700000004,-22424.48000000026,-121962.3781694701
Portes les Valences,EBIT,Q1,101487.7000000003,-34777.52000000027,-134293.5533161701
Portes les Valences,Personnel,Q1,-483552.45,-520267.2799999999,-539190.0106688782
Portes les Valences,Energie,Q1,-199633.82,-102736.64,-107691.836927
Portes les Valences,Maint_courante,Q1,-15923.44999999999,682.1399999999996,-51675.06740290546
Portes les Valences,Maint_oblig,Q1,-97790.23,-105578.21,-74250.0
Portes les Valences,Traitement_sp,Q1,,,
Portes les Valences,Autres_couts,Q1,-202747.46,-251373.83,-246705.8754705866
Portes les Valences,CA,Q2,1384723.36,1393011.0200000003,1562385.8068000001
Portes les Valences,PNE,Q2,992776.6399999992,998349.95,1089750.57796
Portes les Valences,Marge_brute,Q2,98014.36999999895,94695.19999999995,91614.94887052919
Portes les Valences,EBITDA,Q2,-46776.3400000019,-27950.209999999537,-45167.05112947051
Portes les Valences,EBIT,Q2,-53990.49000000181,-40422.79999999953,-57591.89044447051
Portes les Valences,Personnel,Q2,-497386.36000000004,-539644.0300000001,-539190.0106688777
Portes les Valences,Energie,Q2,-53463.899999999994,-51185.12000000001,-84571.836927
Portes les Valences,Maint_courante,Q2,-40403.19999999998,-10813.939999999999,-51675.06740290544
Portes les Valences,Maint_oblig,Q2,-119152.96,-87760.80999999998,-74250.0
Portes les Valences,Traitement_sp,Q2,,,
Portes les Valences,Autres_couts,Q2,-179041.1699999999,-217200.48000000013,-246705.8754705867
Portes les Valences,CA,S1,3030294.29,2859818.2,3053914.0262
Portes les Valences,PNE,S1,2247247.159999999,2079846.19,2125825.82888
Portes les Valences,Marge_brute,S1,350018.6499999992,195636.96999999997,106434.57070105895
Portes les Valences,EBITDA,S1,63656.12999999849,-50374.6899999998,-167129.4292989406
Portes les Valences,EBIT,S1,47497.20999999849,-75200.3199999998,-191885.4437606406
Portes les Valences,Personnel,S1,-980938.81,-1059911.31,-1078380.021337756
Portes les Valences,Energie,S1,-253097.72,-153921.76,-192263.673854
Portes les Valences,Maint_courante,S1,-56326.64999999997,-10131.8,-103350.1348058109
Portes les Valences,Maint_oblig,S1,-216943.19,-193339.02,-148500.0
Portes les Valences,Traitement_sp,S1,0.0,0.0,0.0
Portes les Valences,Autres_couts,S1,-381788.6299999999,-468574.3100000001,-493411.7509411733
Montpellier,CA,Q1,1359132.27,1554250.83,1388046.71
Montpellier,PNE,Q1,1234805.41,1455234.01,1319267.63
Montpellier,Marge_brute,Q1,-157558.49,120034.8899999999,9611.624893686967
Montpellier,EBITDA,Q1,-277226.8699999999,-45233.34000000014,-155655.3751063133
Montpellier,EBIT,Q1,-331298.3599999999,-79789.10000000012,-190059.8888741089
Montpellier,Personnel,Q1,-828556.4500000002,-767243.6699999999,-806228.6880684734
Montpellier,Energie,Q1,-174313.3,-116862.06,-79706.79
Montpellier,Maint_courante,Q1,-114433.19,-137568.35,-109176.04005627
Montpellier,Maint_oblig,Q1,-53609.26000000001,-62942.1,-56363.69999999999
Montpellier,Traitement_sp,Q1,-3744.5,0.0,-2291.64
Montpellier,Autres_couts,Q1,-215965.4,-248086.08,-253755.54698157
Montpellier,CA,Q2,1458443.7599999998,1424100.52,1321949.2600000002
Montpellier,PNE,Q2,1300685.45,1337295.64,1256445.37
Montpellier,Marge_brute,Q2,138582.90000000084,114895.2799999991,-53210.63510631351
Montpellier,EBITDA,Q2,18914.52000000098,-50372.949999999546,-218477.63510631348
Montpellier,EBIT,Q2,-35749.61999999895,-84040.92999999959,-251996.36887410912
Montpellier,Personnel,Q2,-806439.3800000008,-716194.29,-806228.6880684736
Montpellier,Energie,Q2,-16714.330000000016,-44066.98000000001,-79706.79
Montpellier,Maint_courante,Q2,-53919.41,-153911.6799999999,-109176.04005627
Montpellier,Maint_oblig,Q2,-50314.65999999999,-70402.38,-56363.700000000004
Montpellier,Traitement_sp,Q2,0.0,-510.23,-2291.64
Montpellier,Autres_couts,Q2,-236325.27,-236053.60000000012,-253755.54698157
Montpellier,CA,S1,2817576.03,2978351.35,2709995.97
Montpellier,PNE,S1,2535490.86,2792529.65,2575713.0
Montpellier,Marge_brute,S1,-18975.58999999892,234930.169999999,-43599.010212626774
Montpellier,EBITDA,S1,-258312.3499999989,-95606.28999999969,-374133.0102126268
Montpellier,EBIT,S1,-367047.9799999989,-163830.0299999997,-442056.257748218
Montpellier,Personnel,S1,-1634995.830000001,-1483437.96,-1612457.376136947
Montpellier,Energie,S1,-191027.63,-160929.04,-159413.58
Montpellier,Maint_courante,S1,-168352.6,-291480.0299999999,-218352.08011254
Montpellier,Maint_oblig,S1,-103923.92,-133344.48,-112727.4
Montpellier,Traitement_sp,S1,-3744.5,-510.23,-4583.28
Montpellier,Autres_couts,S1,-452290.67,-484139.6800000001,-507511.09396314
Millau,CA,Q1,1159017.94,1357354.13,1388792.1525
Millau,PNE,Q1,1139952.97,1344666.71,1346892.6681
Millau,Marge_brute,Q1,56044.70999999996,136343.1399999999,112591.05102878413
Millau,EBITDA,Q1,22292.10000000009,86418.36999999991,62665.05102878419
Millau,EBIT,Q1,-2030.849999999909,57229.25999999989,35399.09479657982
Millau,Personnel,Q1,-569902.45,-628831.23,-670902.0799241881
Millau,Energie,Q1,-150381.3,-96532.96,-133113.20584
Millau,Maint_courante,Q1,-91429.71999999999,-72872.00000000003,-42644.000001
Millau,Maint_oblig,Q1,-38002.86,-86467.36,-87335.208
Millau,Traitement_sp,Q1,-1198.25,0.0,0.0
Millau,Autres_couts,Q1,-232487.59,-323620.02,-298487.332686128
Millau,CA,Q2,1203332.9100000001,1337088.83,1388792.1525
Millau,PNE,Q2,1185557.34,1317818.9300000002,1346892.6681
Millau,Marge_brute,Q2,178050.2900000012,107372.20000000135,189468.9262387792
Millau,EBITDA,Q2,144297.6800000006,57447.4300000004,139542.92623877822
Millau,EBIT,Q2,119861.5700000006,27981.540000000445,112013.82000657386
Millau,Personnel,Q2,-594091.95,-702401.7,-680901.8770341929
Millau,Energie,Q2,-8383.809999999998,-67119.33,-46235.53352
Millau,Maint_courante,Q2,5944.780000000013,-29443.24999999997,-42644.000001
Millau,Maint_oblig,Q2,-123871.2,-92240.09999999999,-87335.208
Millau,Traitement_sp,Q2,0.0,0.0,0.0
Millau,Autres_couts,Q2,-277713.31000000006,-319154.0900000001,-298487.332686128
Millau,CA,S1,2362350.85,2694442.96,2777584.305
Millau,PNE,S1,2325510.31,2662485.64,2693785.3362
Millau,Marge_brute,S1,234095.00000000116,243715.34000000125,302059.97726756334
Millau,EBITDA,S1,166589.7800000007,143865.8000000003,202207.9772675624
Millau,EBIT,S1,117830.7200000007,85210.80000000034,147412.9148031537
Millau,Personnel,S1,-1163994.4,-1331232.93,-1351803.956958381
Millau,Energie,S1,-158765.11,-163652.29,-179348.73936
Millau,Maint_courante,S1,-85484.93999999997,-102315.25,-85288.000002
Millau,Maint_oblig,S1,-161874.06,-178707.46,-174670.416
Millau,Traitement_sp,S1,-1198.25,0.0,0.0
Millau,Autres_couts,S1,-510200.9,-642774.1100000001,-596974.665372256
Bègles,CA,Q1,1718845.78,1723674.75,1656701.85
Bègles,PNE,Q1,1108895.5,929062.1900000001,951484.8732999999
Bègles,Marge_brute,Q1,-567025.55,-790698.3899999988,-679505.9691367269
Bègles,EBITDA,Q1,-604017.1399999997,-828082.4399999997,-716888.9691367267
Bègles,EBIT,Q1,-1359161.98,-1597318.78,-1491725.067216192
Bègles,Personnel,Q1,-1060516.36,-1089433.12,-1069398.807727722
Bègles,Energie,Q1,-36.97,-436.54,0.0
Bègles,Maint_courante,Q1,-145535.0,-95956.10999999999,-95981.955629875
Bègles,Maint_oblig,Q1,-170936.38,-208453.82,-168000.0
Bègles,Traitement_sp,Q1,0.0,-2618.43,0.0
Bègles,Autres_couts,Q1,-297514.6599999999,-322279.9600000001,-293860.07907913
Bègles,CA,Q2,1449749.14,1648673.35,1634406.69
Bègles,PNE,Q2,875374.300000001,988246.07,945049.2140000002
Bègles,Marge_brute,Q2,-706104.0700000001,-690976.5499999999,-692441.6284367283
Bègles,EBITDA,Q2,-743095.6599999995,-728360.6000000013,-729824.6284367273
Bègles,EBIT,Q2,-1499649.6999999988,-1499475.9600000011,-1506433.2765161921
